淘精彩,rtp://239.3.1.178:8001
萌宠TV,rtp://239.3.1.102:8001
淘Baby,rtp://239.3.1.238:8001
淘剧场,rtp://239.3.1.95:8001
淘电影,rtp://239.3.1.250:8001
淘娱乐,rtp://239.3.1.100:8001
4K超清,rtp://239.3.1.249:8001
凤凰中文,https://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,https://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
BRTV体育休闲,rtp://239.3.1.243:8000
BRTV北京卫视,rtp://239.3.1.241:8000
BRTV文艺,rtp://239.3.1.242:8000
BRTV纪实科教,rtp://239.3.1.115:8000
BRTV影视,rtp://239.3.1.158:8000
BRTV财经,rtp://239.3.1.116:8000
BRTV生活,rtp://239.3.1.117:8000
BRTV新闻,rtp://239.3.1.159:8000
BRTV卡酷少儿,rtp://239.3.1.189:8000
BTV国际频道,rtp://239.3.1.235:8000
房山无线,rtp://239.3.1.96:8001
房山有线,http://live.funhillrm.com/5/sd/live.m3u8
朝阳,rtp://239.3.1.163:8001
石景山,http://live.sjsrm.com/bjsjs/sd/live.m3u8
门头沟,rtp://239.3.1.241:8000
通州,rtp://239.3.1.221:8001
顺义,https://livepgc.chinamcache.com/pgc/f37b95ea2af059da38e70df4f20bd1d6.flv?auth_key=1697077107-0-0-dff3093c02963f5b450b3098a2636bb4
平谷,rtp://239.3.1.241:8000
怀柔,https://pili-live-hdl.huairtv.com/bjhr/hrxw.m3u8
密云,rtp://239.3.1.154:8001
延庆,rtp://239.3.1.187:8001
湖南卫视,rtp://239.3.1.132:8012
江苏卫视,rtp://239.3.1.135:8028
浙江卫视,rtp://239.3.1.137:8036
东方卫视,rtp://239.3.1.136:8032
深圳卫视,rtp://239.3.1.134:8020
云南卫视,rtp://239.3.1.26:8108
安徽卫视,rtp://239.3.1.211:8064
辽宁卫视,rtp://239.3.1.210:8056
山东卫视,rtp://239.3.1.209:8052
中国教育电视台-3(北京频道),rtp://239.3.1.55:4120
中国教育电视台-1(综合教育频道),rtp://239.3.1.57:8152
重庆卫视,rtp://239.3.1.122:8160
黑龙江卫视,rtp://239.3.1.133:8016
海南卫视,rtp://239.3.1.45:8304
贵州卫视,rtp://239.3.1.149:8076
四川卫视,rtp://239.3.1.29:8288
江西卫视,rtp://239.3.1.123:8164
天津卫视,rtp://239.3.1.141:1234
广西卫视,rtp://239.3.1.39:8300
河南卫视,rtp://239.3.1.27:8128
广东卫视,rtp://239.3.1.142:8048
吉林卫视,rtp://239.3.1.240:8172
福建东南卫视,rtp://239.3.1.156:8148
湖北卫视,rtp://239.3.1.138:8044
陕西卫视,rtp://239.3.1.41:8140
宁夏卫视,rtp://239.3.1.46:8124
青海卫视,rtp://239.3.1.44:8184
甘肃卫视,rtp://239.3.1.49:8188
山东教育卫视,rtp://239.3.1.52:4120
河北卫视,rtp://239.3.1.148:8072
山西卫视,rtp://239.3.1.42:8172
内蒙古卫视,rtp://239.3.1.43:8176
新疆卫视,rtp://239.3.1.48:8160
西藏卫视,rtp://239.3.1.47:8164
中国教育电视台-4(职业教育),rtp://239.3.1.56:4120
厦门卫视,rtp://239.3.1.143:4120
金鹰卡通,rtp://239.3.1.51:9252
三沙卫视,rtp://239.3.1.155:4120
兵团卫视,rtp://239.3.1.144:4120
金鹰纪实,rtp://239.3.1.58:8156
纪实人文,rtp://239.3.1.212:8060
大湾区卫视,rtp://239.3.1.161:8001
嘉佳卡通,rtp://239.3.1.147:9268
中国教育电视台-2(教学频道),rtp://239.3.1.54:4120
茶频道,rtp://239.3.1.165:8001
快乐垂钓,rtp://239.3.1.164:8001




北京新闻广播,http://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京城市广播,http://iptv.cooltv.top/tv/ytradio.php?id=357
北京体育广播,http://iptv.cooltv.top/tv/ytradio.php?id=359
北京音乐广播,http://iptv.cooltv.top/tv/ytradio.php?id=356
北京交通广播,http://iptv.cooltv.top/tv/ytradio.php?id=354
北京文艺广播,http://iptv.cooltv.top/tv/ytradio.php?id=355
京津冀之声,http://iptv.cooltv.top/tv/ytradio.php?id=687
CRI Hit FM GuangZhou,http://satellitepull.cnr.cn/live/wxhitfm/playlist.m3u8
CRI Hit FM BeiJing,http://satellitepull.cnr.cn/live/wxgjlxyy/playlist.m3u8
CRI Hit FM HD,http://liveop.cctv.cn/hls/cctvn/playlist.m3u8
经典音乐广播,https://live.funhillrm.com/aac_3/sd/live.m3u8
KFM981,http://iptv.cooltv.top/tv/ytradio.php?id=1310
年代音乐889,http://iptv.cooltv.top/tv/ytradio.php?id=2397
